Status,Progress,Duration..in.seconds.,Finished,consent,check_1,check_2,X1_answer,X1_Q53_First.Click,X1_Q53_Last.Click,X1_Q53_Page.Submit,X1_Q53_Click.Count,X2_answer,X2_Q53_First.Click,X2_Q53_Last.Click,X2_Q53_Page.Submit,X2_Q53_Click.Count,X3_answer,X3_Q53_First.Click,X3_Q53_Last.Click,X3_Q53_Page.Submit,X3_Q53_Click.Count,X4_answer,X4_Q53_First.Click,X4_Q53_Last.Click,X4_Q53_Page.Submit,X4_Q53_Click.Count,X5_answer,X5_Q53_First.Click,X5_Q53_Last.Click,X5_Q53_Page.Submit,X5_Q53_Click.Count,X6_answer,X6_Q53_First.Click,X6_Q53_Last.Click,X6_Q53_Page.Submit,X6_Q53_Click.Count,X7_answer,X7_Q53_First.Click,X7_Q53_Last.Click,X7_Q53_Page.Submit,X7_Q53_Click.Count,X8_answer,X8_Q53_First.Click,X8_Q53_Last.Click,X8_Q53_Page.Submit,X8_Q53_Click.Count,X9_answer,X9_Q53_First.Click,X9_Q53_Last.Click,X9_Q53_Page.Submit,X9_Q53_Click.Count,X10_answer,X10_Q53_First.Click,X10_Q53_Last.Click,X10_Q53_Page.Submit,X10_Q53_Click.Count,X11_answer,X11_Q53_First.Click,X11_Q53_Last.Click,X11_Q53_Page.Submit,X11_Q53_Click.Count,X12_answer,X12_Q53_First.Click,X12_Q53_Last.Click,X12_Q53_Page.Submit,X12_Q53_Click.Count,X13_answer,X13_Q53_First.Click,X13_Q53_Last.Click,X13_Q53_Page.Submit,X13_Q53_Click.Count,X14_answer,X14_Q53_First.Click,X14_Q53_Last.Click,X14_Q53_Page.Submit,X14_Q53_Click.Count,X15_answer,X15_Q53_First.Click,X15_Q53_Last.Click,X15_Q53_Page.Submit,X15_Q53_Click.Count,X16_answer,X16_Q53_First.Click,X16_Q53_Last.Click,X16_Q53_Page.Submit,X16_Q53_Click.Count,follow_random,follow_search,dem_pol_1,dem_pol_2,dem_pol_3,dem_gender,dem_education,dem_birth,debrief_agree,headline_id_1,headline_id_2,headline_id_3,headline_id_4,headline_id_5,headline_id_6,headline_id_7,headline_id_8,headline_id_9,headline_id_10,headline_id_11,headline_id_12,headline_id_13,headline_id_14,headline_id_15,headline_id_16,headline_text_1,headline_text_2,headline_text_3,headline_text_4,headline_text_5,headline_text_6,headline_text_7,headline_text_8,headline_text_9,headline_text_10,headline_text_11,headline_text_12,headline_text_13,headline_text_14,headline_text_15,headline_text_16,true_votes_1,true_votes_2,true_votes_3,true_votes_4,true_votes_5,true_votes_6,true_votes_7,true_votes_8,true_votes_9,true_votes_10,true_votes_11,true_votes_12,true_votes_13,true_votes_14,true_votes_15,true_votes_16,true_votes_num_1,true_votes_num_2,true_votes_num_3,true_votes_num_4,true_votes_num_5,true_votes_num_6,true_votes_num_7,true_votes_num_8,true_votes_num_9,true_votes_num_10,true_votes_num_11,true_votes_num_12,true_votes_num_13,true_votes_num_14,true_votes_num_15,true_votes_num_16,population,group,dems,reps
IP Address,100,203,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,5.935,5.935,6.477,1,TRUE,6.149,6.149,6.748,1,TRUE,6.068,6.068,6.534,1,TRUE,6.045,6.045,6.628,1,FALSE,6.005,6.005,6.63,1,FALSE,6.109,6.429,7.171,2,TRUE,6.041,6.041,6.554,1,FALSE,6.032,6.032,6.63,1,TRUE,6.175,6.175,6.675,1,TRUE,5.956,6.573,6.837,2,TRUE,6.122,6.6,6.935,2,TRUE,5.955,5.955,6.54,1,FALSE,6.04,6.04,6.734,1,TRUE,11.115,13.003,13.261,3,FALSE,6.273,6.273,6.897,1,FALSE,6.141,6.141,6.675,1,No,No,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,I AGREE that the data collected during the study may be included for the purpose of the study.,Dem_1,Dem_7,Dem_3,Dem_10,Rep_8,Rep_6,Rep_2,Rep_9,Other_3,Other_6,Other_4,Other_9,Other_8,Other_1,Fake_1,Fake_2,Justice Dept. Officials Had Discussions About Pushing Trump Out,Nearly 400 Trump Aides Had Access to Leaked Schedules,Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,76 Percent of Viewers Approve President Trump's State of the Union Speech,Illegal Immigration Expected to Hit Highest Level Since George W. Bush,Northam Got Nearly $2 Million in Donations from Planned Parenthood,Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,"For Millennials, Cancers Fueled by Obesity Are on Rise, Study Says","Queensland Floods: 500,000 Cattle Survived Years-long Drought Only to Die in the Rain",Long-haul Carrier Emirates Announces $21.4 Billion-valued Deal with Airbus,Google to Invest $13 Billion in Us Data Centers and Offices,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,maj-dem,75,21
IP Address,100,235,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,6.936,6.936,7.622,1,TRUE,6.73,6.73,7.408,1,TRUE,8.675,8.675,9.633,1,TRUE,6.135,6.135,6.677,1,FALSE,6.509,6.509,7.533,1,TRUE,7.165,7.165,8.024,1,FALSE,6.399,6.399,7.246,1,FALSE,6.571,6.571,7.415,1,FALSE,6.716,7.879,8.237,2,FALSE,6.101,6.101,6.844,1,TRUE,7.015,7.015,7.537,1,TRUE,6.815,6.815,7.751,1,FALSE,6.593,6.593,7.649,1,TRUE,7.499,7.499,8.57,1,FALSE,10.769,10.769,12.872,1,FALSE,9.612,11.143,11.804,2,No,No,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1989,I AGREE that the data collected during the study may be included for the purpose of the study.,Dem_9,Dem_10,Dem_5,Dem_2,Rep_10,Rep_7,Rep_8,Rep_5,Other_2,Other_10,Other_8,Other_4,Other_7,Other_1,Fake_1,Fake_2,Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns,Undeniable Warming: The Planet's Hottest Five Years on Record,Islamic State is 100 Percent Defeated,"America Created 304,000 Jobs in January, Smashing Estimates",76 Percent of Viewers Approve President Trump's State of the Union Speech,Migrant Jobs Project Spends 15 Million to Employ Only 120,"Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows",Puerto Rico Wins Approval of $18 Billion Bond Restructuring,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,Long-haul Carrier Emirates Announces $21.4 Billion-valued Deal with Airbus,"Turkey Orders Detention of over 1,100 People Linked to Failed Coup",Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,maj-dem,75,21
IP Address,100,204,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",TRUE,4.316,5.416,6.399,4,TRUE,5.351,6.634,7.097,4,FALSE,4.762,6.611,6.889,5,FALSE,3.328,4.591,4.953,4,TRUE,5.067,6.634,6.666,3,FALSE,4.083,5.499,5.93,4,FALSE,5.03,5.629,6.023,3,FALSE,4.021,5.185,5.548,4,TRUE,3.013,4.316,4.715,4,TRUE,5.515,6.749,7.127,4,TRUE,3.578,6.762,7.571,5,TRUE,4.252,5.984,6.262,5,FALSE,4.24,5.437,5.818,4,TRUE,6.695,8.275,8.528,5,FALSE,5.771,6.869,6.897,4,FALSE,5.485,7.804,7.835,6,No,No,Democrat,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1968,,Dem_3,Dem_10,Dem_4,Dem_1,Rep_6,Rep_10,Rep_1,Rep_9,Other_9,Other_1,Other_2,Other_5,Other_7,Other_4,Fake_1,Fake_2,Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,"Since Parkland There's Been a School Shooting, on Average, Every 12 Days",Justice Dept. Officials Had Discussions About Pushing Trump Out,Illegal Immigration Expected to Hit Highest Level Since George W. Bush,Islamic State is 100 Percent Defeated,Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner,Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,Google to Invest $13 Billion in Us Data Centers and Offices,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,"Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows",It's Official: 2018 Was the Fourth-warmest Year on Record,"Turkey Orders Detention of over 1,100 People Linked to Failed Coup",Long-haul Carrier Emirates Announces $21.4 Billion-valued Deal with Airbus,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,control,,
IP Address,100,160,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",TRUE,4.197,4.197,5.105,1,FALSE,3.272,3.272,4.071,1,TRUE,3.745,3.745,4.521,1,TRUE,3.642,3.642,4.55,1,TRUE,5.431,5.431,6.494,1,TRUE,5.395,5.395,6.263,1,TRUE,3.427,3.427,4.296,1,FALSE,7.283,7.283,8.159,1,TRUE,4.526,4.526,8.515,1,FALSE,3.917,3.917,5.264,1,TRUE,4.064,4.064,4.831,1,TRUE,3.661,4.069,4.856,2,TRUE,4.285,4.285,5.185,1,FALSE,5.843,5.843,6.812,1,FALSE,4.668,4.668,6.832,1,FALSE,8.149,10.105,10.802,2,No,No,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1987,,Dem_1,Dem_4,Dem_7,Dem_6,Rep_6,Rep_5,Rep_4,Rep_9,Other_1,Other_10,Other_5,Other_9,Other_3,Other_2,Fake_1,Fake_2,Justice Dept. Officials Had Discussions About Pushing Trump Out,"Since Parkland There's Been a School Shooting, on Average, Every 12 Days",Nearly 400 Trump Aides Had Access to Leaked Schedules,Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting,Illegal Immigration Expected to Hit Highest Level Since George W. Bush,Migrant Jobs Project Spends 15 Million to Employ Only 120,Investors Pulled Record $25 Billion from US Stock ETFs in January,Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Puerto Rico Wins Approval of $18 Billion Bond Restructuring,It's Official: 2018 Was the Fourth-warmest Year on Record,Google to Invest $13 Billion in Us Data Centers and Offices,"For Millennials, Cancers Fueled by Obesity Are on Rise, Study Says","Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows",Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,control,,
IP Address,100,257,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,8.499,8.499,10.839,1,TRUE,6.384,7.088,7.429,2,TRUE,6.324,6.324,8.495,1,TRUE,8.016,13.504,14.218,4,FALSE,6.758,6.758,7.746,1,TRUE,0.6,6.799,7.767,2,TRUE,6.526,6.526,7.417,1,FALSE,7.213,7.213,8.495,1,TRUE,6.818,10.163,16.486,2,TRUE,6.345,6.345,7.211,1,TRUE,6.66,6.66,7.719,1,TRUE,8.616,8.616,9.625,1,TRUE,6.366,6.366,7.416,1,TRUE,6.592,6.592,7.732,1,FALSE,6.527,9.791,11.098,2,FALSE,6.288,6.288,7.338,1,No,No,Independent,somewhat liberal,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1979,I AGREE that the data collected during the study may be included for the purpose of the study.,Dem_9,Dem_5,Dem_8,Dem_3,Rep_2,Rep_9,Rep_3,Rep_10,Other_7,Other_8,Other_2,Other_1,Other_10,Other_5,Fake_1,Fake_2,Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers,Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns,US Budget Deficit Running 41.8 Percent above Last Year,Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.,Northam Got Nearly $2 Million in Donations from Planned Parenthood,Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates,Islamic State is 100 Percent Defeated,"Turkey Orders Detention of over 1,100 People Linked to Failed Coup",Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,"Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows",Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Puerto Rico Wins Approval of $18 Billion Bond Restructuring,It's Official: 2018 Was the Fourth-warmest Year on Record,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,maj-dem,75,21
IP Address,100,227,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,6.235,6.235,7.307,1,FALSE,6.165,6.165,6.869,1,TRUE,6.029,6.029,6.717,1,TRUE,7.377,7.377,8.146,1,TRUE,7.166,7.166,8.173,1,FALSE,6.965,6.965,9.913,1,TRUE,6.273,6.273,7.308,1,TRUE,6.179,6.179,6.91,1,TRUE,6.365,6.365,7.132,1,FALSE,6.571,6.571,7.318,1,FALSE,6.37,6.37,7.11,1,TRUE,6.207,6.959,7.281,2,TRUE,5.981,5.981,6.65,1,FALSE,6.042,6.042,6.879,1,FALSE,7.134,7.134,8.02,1,FALSE,6.223,6.223,7.239,1,No,No,Other,no opinion,Left or center-left,Male,High school degree or equivalent (e.g. GED),1998,I AGREE that the data collected during the study may be included for the purpose of the study.,Dem_5,Dem_8,Dem_4,Dem_6,Rep_5,Rep_8,Rep_2,Rep_1,Other_10,Other_1,Other_8,Other_7,Other_5,Other_4,Fake_1,Fake_2,Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns,US Budget Deficit Running 41.8 Percent above Last Year,"Since Parkland There's Been a School Shooting, on Average, Every 12 Days",Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting,Migrant Jobs Project Spends 15 Million to Employ Only 120,76 Percent of Viewers Approve President Trump's State of the Union Speech,Northam Got Nearly $2 Million in Donations from Planned Parenthood,Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner,Puerto Rico Wins Approval of $18 Billion Bond Restructuring,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,"Turkey Orders Detention of over 1,100 People Linked to Failed Coup",It's Official: 2018 Was the Fourth-warmest Year on Record,Long-haul Carrier Emirates Announces $21.4 Billion-valued Deal with Airbus,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,maj-rep,21,75
IP Address,100,187,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",TRUE,5.504,5.504,6.716,1,TRUE,3.928,3.928,5.23,1,TRUE,4.615,4.615,6.04,1,TRUE,10.785,10.785,11.848,1,FALSE,3.309,3.309,4.25,1,FALSE,4.438,4.438,5.399,1,FALSE,3.249,3.249,4.472,1,FALSE,8.244,8.244,9.511,1,FALSE,5.527,5.527,6.55,1,FALSE,3.661,3.661,4.661,1,TRUE,4.446,4.446,5.338,1,TRUE,3.787,3.787,4.771,1,FALSE,5.065,5.065,6.227,1,TRUE,3.533,3.533,4.538,1,FALSE,5.877,5.877,6.948,1,FALSE,5.356,5.356,6.439,1,No,No,Democrat,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1974,,Dem_7,Dem_10,Dem_5,Dem_9,Rep_7,Rep_9,Rep_10,Rep_4,Other_3,Other_10,Other_1,Other_5,Other_6,Other_8,Fake_1,Fake_2,Nearly 400 Trump Aides Had Access to Leaked Schedules,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns,Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers,"America Created 304,000 Jobs in January, Smashing Estimates",Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,Islamic State is 100 Percent Defeated,Investors Pulled Record $25 Billion from US Stock ETFs in January,"For Millennials, Cancers Fueled by Obesity Are on Rise, Study Says",Puerto Rico Wins Approval of $18 Billion Bond Restructuring,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,It's Official: 2018 Was the Fourth-warmest Year on Record,"Queensland Floods: 500,000 Cattle Survived Years-long Drought Only to Die in the Rain",Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,control,,
IP Address,100,245,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",TRUE,8.776,8.776,9.697,1,FALSE,7.918,7.918,9.214,1,TRUE,4.943,4.943,5.942,1,FALSE,7.93,7.93,9.65,1,FALSE,13.321,13.321,14.969,1,TRUE,5.231,5.231,7.487,1,TRUE,3.537,3.537,4.433,1,FALSE,3.876,3.876,4.762,1,FALSE,3.911,3.911,4.568,1,FALSE,5.346,5.346,6.426,1,TRUE,4.273,4.273,4.937,1,TRUE,3.955,3.955,4.933,1,TRUE,12.483,12.483,13.573,1,FALSE,10.314,10.314,11.258,1,FALSE,8.387,8.387,9.107,1,FALSE,9.168,9.168,10.433,1,No,No,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1990,,Dem_8,Dem_6,Dem_4,Dem_7,Rep_3,Rep_2,Rep_1,Rep_7,Other_3,Other_9,Other_5,Other_8,Other_2,Other_6,Fake_1,Fake_2,US Budget Deficit Running 41.8 Percent above Last Year,Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting,"Since Parkland There's Been a School Shooting, on Average, Every 12 Days",Nearly 400 Trump Aides Had Access to Leaked Schedules,Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates,Northam Got Nearly $2 Million in Donations from Planned Parenthood,Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner,"America Created 304,000 Jobs in January, Smashing Estimates","For Millennials, Cancers Fueled by Obesity Are on Rise, Study Says",Google to Invest $13 Billion in Us Data Centers and Offices,It's Official: 2018 Was the Fourth-warmest Year on Record,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,"Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows","Queensland Floods: 500,000 Cattle Survived Years-long Drought Only to Die in the Rain",Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,control,,
IP Address,100,254,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,4.193,4.193,5.601,1,FALSE,4.461,4.461,5.356,1,FALSE,5.067,5.067,6.547,1,TRUE,5.839,5.839,7.21,1,TRUE,16.238,16.238,17.41,1,FALSE,8.569,8.569,9.663,1,TRUE,4.626,4.626,5.563,1,TRUE,5.983,6.849,7.617,2,FALSE,3.534,3.534,4.927,1,TRUE,3.48,3.48,4.425,1,FALSE,5.605,8.685,9.54,2,FALSE,6.22,6.22,7.924,1,TRUE,4.396,4.396,5.293,1,TRUE,3.417,3.417,4.328,1,TRUE,8.092,8.092,10.066,1,FALSE,4.164,4.164,5.063,1,Yes,No,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1996,,Dem_7,Dem_1,Dem_3,Dem_10,Rep_5,Rep_3,Rep_2,Rep_4,Other_9,Other_10,Other_8,Other_1,Other_2,Other_5,Fake_1,Fake_2,Nearly 400 Trump Aides Had Access to Leaked Schedules,Justice Dept. Officials Had Discussions About Pushing Trump Out,Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,Migrant Jobs Project Spends 15 Million to Employ Only 120,Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates,Northam Got Nearly $2 Million in Donations from Planned Parenthood,Investors Pulled Record $25 Billion from US Stock ETFs in January,Google to Invest $13 Billion in Us Data Centers and Offices,Puerto Rico Wins Approval of $18 Billion Bond Restructuring,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,"Bird Strikes by Airplanes Tied Record in 2018, FAA Data Shows",It's Official: 2018 Was the Fourth-warmest Year on Record,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,control,,
IP Address,100,198,TRUE,"I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.",John is easy to see.,"some are true, some are false",FALSE,3.626,14.06,15.109,6,TRUE,3.377,6.026,6.767,3,TRUE,3.902,6.319,7.114,4,TRUE,2.399,6.087,6.553,4,TRUE,3.999,6.125,6.544,3,FALSE,4.171,6.194,6.733,3,FALSE,4.284,6.205,6.69,4,FALSE,3.412,6.487,7.032,5,FALSE,6.281,7.83,7.86,6,TRUE,2.404,8.758,9.069,4,TRUE,4.31,6.446,8.066,4,TRUE,5.415,6.043,6.959,3,FALSE,3.562,5.95,6.88,4,FALSE,4.1,6.553,6.888,6,FALSE,4.606,8.748,9.297,6,FALSE,4.04,6.486,7.823,3,No,No,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1989,I AGREE that the data collected during the study may be included for the purpose of the study.,Dem_7,Dem_10,Dem_5,Dem_8,Rep_9,Rep_1,Rep_4,Rep_5,Other_3,Other_9,Other_7,Other_10,Other_8,Other_1,Fake_1,Fake_2,Nearly 400 Trump Aides Had Access to Leaked Schedules,Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million,Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns,US Budget Deficit Running 41.8 Percent above Last Year,Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%,Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner,Investors Pulled Record $25 Billion from US Stock ETFs in January,Migrant Jobs Project Spends 15 Million to Employ Only 120,"For Millennials, Cancers Fueled by Obesity Are on Rise, Study Says",Google to Invest $13 Billion in Us Data Centers and Offices,"Turkey Orders Detention of over 1,100 People Linked to Failed Coup",Puerto Rico Wins Approval of $18 Billion Bond Restructuring,Woody Allen Sues Amazon Studios for $68 Million over Movie Deal,Average Bra Sizes Rise from 34B to 36DD but Experts Split over Whether Cause Is Obesity or Fashion,Billionaire Founder of Corona Beer Brewery Makes Everyone in His Village a Millionaire in His Will,"Because of the Lack of Men, Iceland Give $5,000 Per Month to Immigrants Who Marry Icelandic Women",low,low,high,high,low,low,high,high,other,other,other,other,other,other,fake,fake,19,24,74,72,20,23,76,73,53,41,65,64,55,66,11,9,96,maj-dem,75,21
